pitch,start,end,tonalTechnique,articulation,stringId,position,finger
83,34.963636,35.004545,,spiccato,3,3,2
83,35.05,35.109091,,spiccato,3,3,2
74,35.154545,35.206818,,spiccato,2,1,3
66,35.254545,35.3,,spiccato,1,1,2
59,35.345455,35.397727,,spiccato,0,1,2
57,35.45,35.509091,,spiccato,0,1,1
66,35.561364,35.613636,,spiccato,1,1,2
74,35.659091,35.706818,,spiccato,2,3,1
84,35.747727,35.804545,,spiccato,3,3,3
84,35.852273,35.909091,,spiccato,3,3,3
74,35.961364,36.025,,spiccato,2,1,3
66,36.072727,36.125,,spiccato,1,1,2
57,36.177273,36.229545,,spiccato,0,1,1
57,36.281818,36.334091,,spiccato,0,1,1
66,36.379545,36.438636,,spiccato,1,1,2
74,36.484091,36.543182,,spiccato,2,1,3
81,36.588636,36.636364,,spiccato,3,1,3
81,36.688636,36.745455,,spiccato,3,1,3
74,36.797727,36.85,,spiccato,2,1,3
66,36.902273,36.961364,,spiccato,1,1,2
57,37.013636,37.059091,,spiccato,0,1,1
55,37.104545,37.186364,,spiccato,0,1,0
62,37.234091,37.290909,,spiccato,1,1,0
71,37.331818,37.384091,,spiccato,2,1,1
86,37.429545,37.488636,,spiccato,3,3,4
86,37.540909,37.593182,,spiccato,3,3,4
71,37.645455,37.715909,,spiccato,2,1,1
62,37.761364,37.847727,,spiccato,1,1,0
55,37.895455,37.940909,,spiccato,0,1,0
55,37.988636,38.034091,,spiccato,0,1,0
62,38.086364,38.145455,,spiccato,1,1,0
74,38.184091,38.236364,,spiccato,2,3,1
91,38.288636,38.329545,,spiccato,3,6,4
91,38.381818,38.445455,,spiccato,3,6,4
74,38.493182,38.556818,,spiccato,2,3,1
62,38.602273,38.736364,,spiccato,1,1,0
55,38.788636,38.829545,,spiccato,0,1,0
55,38.836364,38.870455,,spiccato,0,1,0
62,38.922727,38.968182,,spiccato,1,1,0
79,39.020455,39.068182,,spiccato,3,1,2
95,39.120455,39.165909,,spiccato,3,9,3
95,39.213636,39.270455,,spiccato,3,9,3
79,39.318182,39.381818,,spiccato,2,3,4
62,39.427273,39.475,,spiccato,1,1,0
55,39.520455,39.565909,,spiccato,0,1,0
55,39.618182,39.677273,,spiccato,0,1,0
62,39.729545,39.781818,,spiccato,1,1,0
83,39.827273,39.879545,,spiccato,3,3,2
98,39.927273,39.972727,,spiccato,1,1,3
98,40.020455,40.077273,,spiccato,1,1,3
83,40.129545,40.193182,,spiccato,3,3,2
62,40.240909,40.293182,,spiccato,1,1,0
55,40.345455,40.490909,,spiccato,0,1,0
60,40.565909,40.645455,,spiccato,0,1,3
67,40.693182,40.745455,,spiccato,1,1,3
76,40.797727,40.838636,,spiccato,2,3,2
84,40.879545,40.947727,,spiccato,3,3,3
61,40.995455,41.104545,,,0,1,3
69,41.197727,41.361364,,release,2,1,0
79,41.197727,41.361364,,release,3,1,2
88,41.197727,41.361364,,release,3,4,4
62,41.459091,41.518182,,spiccato,1,1,0
69,41.570455,41.609091,,spiccato,2,1,0
78,41.656818,41.690909,,spiccato,3,1,1
86,41.731818,41.790909,,spiccato,3,3,4
63,41.854545,42.0,,,1,1,1
71,42.097727,42.225,,release,2,1,1
81,42.097727,42.225,,release,3,1,3
90,42.097727,42.225,,release,3,5,4
64,42.318182,42.377273,,spiccato,1,1,1
72,42.422727,42.468182,,spiccato,2,1,2
79,42.515909,42.561364,,spiccato,3,1,2
88,42.613636,42.677273,,spiccato,3,4,4
66,42.747727,42.840909,,,1,1,2
74,42.934091,43.027273,,release,2,1,3
81,42.934091,43.027273,,release,3,1,3
90,42.934091,43.027273,,release,3,5,4
67,43.125,43.225,,,1,1,3
74,43.311364,43.397727,,release,2,3,1
83,43.311364,43.397727,,release,3,3,2
91,43.311364,43.397727,,release,3,6,4
69,43.490909,43.602273,,,1,1,4
78,43.7,43.811364,,release,3,1,1
86,43.7,43.811364,,release,3,3,4
93,43.7,43.811364,,release,3,7,4
71,43.909091,44.059091,,,2,1,1
79,44.163636,44.256818,,release,2,3,4
86,44.163636,44.256818,,release,3,3,4
95,44.163636,44.256818,,release,3,9,3
72,44.35,44.540909,,,2,1,2
79,44.634091,44.884091,,release,3,1,2
88,44.634091,44.884091,,release,3,5,3
96,44.634091,44.884091,,release,1,1,3
73,44.981818,45.075,,spiccato,2,1,2
82,45.134091,45.179545,,spiccato,3,3,1
91,45.227273,45.272727,,spiccato,3,6,4
100,45.320455,45.4,,spiccato,3,6,4
103,45.452273,45.9,,release,3,6,4
61,45.906818,46.284091,,release,0,3,1
62,46.284091,46.568182,,release,1,1,0
83,46.661364,46.922727,,staccato,3,3,2
86,46.661364,46.922727,,staccato,3,3,4
81,46.927273,47.165909,,staccato,3,3,1
84,46.927273,47.165909,,staccato,3,3,3
79,47.170455,47.363636,,staccato,3,1,2
83,47.170455,47.363636,,staccato,3,3,2
78,47.368182,47.547727,,staccato,3,1,1
81,47.368182,47.547727,,staccato,3,1,3
76,47.547727,47.711364,,staccato,3,1,0
79,47.547727,47.711364,,staccato,3,1,2
74,47.711364,47.861364,,staccato,2,1,3
78,47.711364,47.861364,,staccato,3,1,1
72,47.868182,48.013636,,staccato,2,1,2
76,47.868182,48.013636,,staccato,3,1,0
71,48.013636,48.163636,,staccato,2,1,1
74,48.013636,48.163636,,staccato,2,1,3
69,48.170455,48.315909,,staccato,2,1,0
72,48.170455,48.315909,,staccato,2,1,2
67,48.315909,48.459091,,staccato,1,1,3
71,48.315909,48.459091,,staccato,2,1,1
66,48.465909,48.75,,staccato,1,1,2
69,48.465909,48.75,,staccato,1,1,4
55,48.825,48.865909,,spiccato,0,1,0
62,48.918182,48.970455,,spiccato,1,1,0
71,49.022727,49.075,,spiccato,2,1,1
79,49.127273,49.179545,,spiccato,3,1,2
79,49.231818,49.284091,,spiccato,3,1,2
71,49.331818,49.384091,,spiccato,2,1,1
62,49.429545,49.488636,,spiccato,1,1,0
55,49.534091,49.604545,,spiccato,0,1,0
55,49.656818,49.702273,,spiccato,0,1,0
63,49.754545,49.818182,,spiccato,1,1,1
72,49.870455,49.911364,,spiccato,2,1,2
78,49.956818,50.004545,,spiccato,3,1,1
78,50.056818,50.113636,,spiccato,3,1,1
72,50.165909,50.213636,,spiccato,2,1,2
63,50.259091,50.311364,,spiccato,1,1,1
55,50.359091,50.4,,spiccato,0,1,0
55,50.452273,50.636364,,release,0,1,0
62,50.452273,50.636364,,release,1,1,0
83,50.759091,50.990909,,release,3,3,2
86,50.759091,50.990909,,release,3,3,4
81,50.990909,51.177273,,staccato,3,3,1
84,50.990909,51.177273,,staccato,3,3,3
79,51.177273,51.322727,,staccato,3,1,2
83,51.177273,51.322727,,staccato,3,3,2
78,51.327273,51.484091,,staccato,3,1,1
81,51.327273,51.484091,,staccato,3,1,3
76,51.490909,51.640909,,staccato,3,1,0
79,51.490909,51.640909,,staccato,3,1,2
74,51.640909,51.779545,,staccato,2,1,3
78,51.640909,51.779545,,staccato,3,1,1
72,51.786364,51.936364,,staccato,2,1,2
76,51.786364,51.936364,,staccato,3,1,0
71,51.943182,52.088636,,staccato,2,1,1
74,51.943182,52.088636,,staccato,2,1,3
69,52.093182,52.256818,,staccato,2,1,0
72,52.093182,52.256818,,staccato,2,1,2
67,52.256818,52.395455,,staccato,1,1,3
71,52.256818,52.395455,,staccato,2,1,1
66,52.402273,52.638636,,staccato,1,1,2
69,52.402273,52.638636,,staccato,1,1,4
55,52.715909,52.756818,,spiccato,0,1,0
62,52.809091,52.847727,,spiccato,1,1,0
71,52.9,52.963636,,spiccato,2,1,1
79,53.015909,53.063636,,spiccato,3,1,2
79,53.109091,53.179545,,spiccato,3,1,2
71,53.231818,53.295455,,spiccato,2,1,1
62,53.340909,53.377273,,spiccato,1,1,0
55,53.429545,53.497727,,spiccato,0,1,0
55,53.55,53.597727,,spiccato,0,1,0
63,53.643182,53.706818,,spiccato,1,1,1
72,53.754545,53.806818,,spiccato,2,1,2
78,53.852273,53.9,,spiccato,3,1,1
78,53.952273,54.009091,,spiccato,3,1,1
72,54.061364,54.109091,,spiccato,2,1,2
63,54.161364,54.311364,,spiccato,1,1,1
55,54.363636,54.404545,,spiccato,0,1,0
55,54.409091,54.613636,,release,0,1,0
62,54.409091,54.613636,,release,1,1,0
83,54.736364,54.95,,release,3,3,2
86,54.736364,54.95,,release,3,3,4
81,54.956818,55.147727,,staccato,3,3,1
84,54.956818,55.147727,,staccato,3,3,3
79,55.147727,55.327273,,staccato,3,1,2
83,55.147727,55.327273,,staccato,3,3,2
78,55.334091,55.484091,,staccato,3,1,1
81,55.334091,55.484091,,staccato,3,1,3
76,55.484091,55.647727,,staccato,3,1,0
79,55.484091,55.647727,,staccato,3,1,2
74,55.652273,55.786364,,staccato,2,1,3
78,55.652273,55.786364,,staccato,3,1,1
72,55.790909,55.965909,,staccato,2,1,2
76,55.790909,55.965909,,staccato,3,1,0
71,55.972727,56.104545,,staccato,2,1,1
74,55.972727,56.104545,,staccato,2,1,3
69,56.111364,56.272727,,staccato,2,1,0
72,56.111364,56.272727,,staccato,2,1,2
67,56.279545,56.436364,,staccato,1,1,3
71,56.279545,56.436364,,staccato,2,1,1
66,56.440909,56.686364,,staccato,1,1,2
69,56.440909,56.686364,,staccato,1,1,4
55,56.802273,56.847727,,spiccato,0,1,0
62,56.895455,56.952273,,spiccato,1,1,0
71,57.004545,57.079545,,spiccato,2,1,1
79,57.127273,57.202273,,spiccato,3,1,2
79,57.254545,57.325,,spiccato,3,1,2
71,57.377273,57.456818,,spiccato,2,1,1
62,57.509091,57.556818,,spiccato,1,1,0
55,57.602273,57.661364,,spiccato,0,1,0
55,57.706818,57.765909,,spiccato,0,1,0
62,57.818182,57.870455,,spiccato,1,1,0
70,57.922727,57.975,,spiccato,2,1,1
79,58.027273,58.084091,,spiccato,3,1,2
79,58.136364,58.206818,,spiccato,3,1,2
70,58.259091,58.311364,,spiccato,2,1,1
62,58.356818,58.427273,,spiccato,1,1,0
55,58.472727,58.55,,spiccato,0,1,0
55,58.602273,58.879545,,,0,1,0
63,58.602273,58.879545,,,1,1,1
82,59.006818,59.320455,,,3,3,2
85,59.006818,59.320455,,,3,3,3
80,59.327273,59.559091,,staccato,3,1,2
84,59.327273,59.559091,,staccato,3,3,3
79,59.559091,59.738636,,staccato,3,1,2
82,59.559091,59.738636,,staccato,3,3,2
79,59.745455,59.906818,,staccato,3,1,2
